FSSAI_Chemical_Score,Quality_Score_0_100,Peroxidase_Activity,ENose_Sensor_S02,Formalin_Test,ENose_Sensor_S01,Formaldehyde_ppm,FFA_Linoleic_C18_2_pct,Adulteration_Index,Adulterated
98.06,95.39,1,0.2711,0,0.2067,0.0248,3.6468,0.0153,0
99.99,91.7,1,0.2055,0,0.2471,0.0282,2.6563,0.0,0
100.0,98.3,1,0.2766,0,0.2529,0.0211,3.7639,0.0001,0
98.69,94.53,1,0.2328,0,0.2402,0.0095,3.7812,0.0,0
100.0,85.8,1,0.2948,0,0.2153,0.0487,1.7155,0.0,0
97.48,95.54,1,0.2993,0,0.2109,0.001,3.9579,0.0466,0
100.0,89.67,1,0.2001,0,0.249,0.0062,3.8481,0.0,0
98.0,95.71,1,0.2464,0,0.2509,0.0356,2.7174,0.0,0
100.0,88.12,1,0.2437,0,0.2784,0.037,2.1021,0.0205,0
99.86,92.66,1,0.2345,0,0.207,0.0078,2.288,0.0392,0
100.0,93.86,1,0.2361,0,0.278,0.0317,1.9999,0.0074,0
98.72,90.42,1,0.2475,0,0.2237,0.0442,3.7918,0.0327,0
100.0,97.94,1,0.2547,0,0.223,0.04,3.0978,0.021,0
97.73,95.7,1,0.2295,0,0.2449,0.0002,2.4016,0.0,0
100.0,92.75,1,0.2691,0,0.2978,0.002,2.1238,0.0048,0
99.7,90.94,1,0.2932,0,0.2982,0.0233,1.6371,0.0114,0
100.0,89.53,1,0.2243,0,0.2798,0.0176,2.6764,0.0,0
97.3,97.65,1,0.2586,0,0.256,0.0047,2.0711,0.0,0
100.0,98.53,1,0.2352,0,0.2791,0.0096,1.5256,0.0367,0
100.0,92.66,1,0.2541,0,0.297,0.0471,2.1881,0.052,0
100.0,85.54,1,0.2803,0,0.2762,0.0184,2.1658,0.0457,0
99.14,98.4,1,0.2011,0,0.2808,0.0111,3.0032,0.0426,0
99.66,86.69,1,0.2095,0,0.2798,0.0081,2.4068,0.0409,0
100.0,97.46,1,0.2956,0,0.2186,0.0295,1.5211,0.0516,0
98.73,99.63,1,0.2216,0,0.2644,0.0232,3.303,0.0,0
100.0,92.96,1,0.2478,0,0.2908,0.0171,3.0134,0.0174,0
99.78,91.86,1,0.2799,0,0.2968,0.0184,1.5819,0.0136,0
99.9,92.55,1,0.2023,0,0.2289,0.0101,3.7479,0.0304,0
97.63,94.76,1,0.2431,0,0.2632,0.0373,2.8775,0.0,0
100.0,90.33,1,0.2136,0,0.2759,0.0374,3.7518,0.0428,0
97.57,92.57,1,0.2741,0,0.2456,0.0016,2.5719,0.0,0
100.0,85.79,1,0.2212,0,0.233,0.0108,1.7702,0.0072,0
97.34,97.79,1,0.235,0,0.2338,0.0031,2.0921,0.0103,0
100.0,91.56,1,0.2644,0,0.2441,0.0044,3.3728,0.0486,0
100.0,79.72,1,0.2382,0,0.282,0.0479,3.9617,0.0181,0
97.8,99.38,1,0.2205,0,0.2128,0.0228,2.0709,0.0436,0
99.54,95.41,1,0.2856,0,0.2716,0.01,2.3587,0.0,0
100.0,87.2,1,0.2626,0,0.225,0.0483,1.7939,0.049,0
99.23,94.27,1,0.2759,0,0.2786,0.0238,1.7515,0.0,0
98.14,97.96,1,0.2952,0,0.227,0.0343,3.1049,0.0085,0
100.0,90.25,1,0.2527,0,0.2803,0.0479,2.6304,0.0,0
100.0,92.2,1,0.2758,0,0.2161,0.0465,3.1123,0.0,0
98.55,95.02,1,0.2721,0,0.2434,0.0482,2.8502,0.0113,0
100.0,86.26,1,0.2479,0,0.2978,0.042,2.6555,0.0494,0
100.0,96.14,1,0.2785,0,0.2887,0.035,3.6795,0.0,0
97.77,93.69,1,0.2927,0,0.2081,0.0105,2.049,0.0011,0
100.0,94.9,1,0.2396,0,0.2971,0.0091,3.6391,0.0292,0
100.0,93.52,1,0.2115,0,0.2816,0.0176,3.7814,0.0,0
98.93,94.35,1,0.2369,0,0.285,0.045,1.5399,0.0,0
100.0,95.17,1,0.2469,0,0.2746,0.0124,2.904,0.0,0
100.0,88.51,1,0.2911,0,0.2385,0.0105,3.0576,0.0143,0
100.0,89.9,1,0.2421,0,0.2202,0.0288,3.6655,0.0481,0
100.0,86.17,1,0.2111,0,0.283,0.0116,3.2259,0.0,0
98.68,89.36,1,0.2923,0,0.2014,0.029,3.8206,0.0466,0
100.0,93.1,1,0.2227,0,0.2624,0.0326,2.1029,0.0,0
100.0,88.02,1,0.2075,0,0.2828,0.0177,2.9986,0.0,0
97.0,100.0,1,0.2551,0,0.2352,0.0227,3.6173,0.0033,0
68.92,55.45,0,0.242,0,0.2597,0.0234,2.8555,0.698,1
62.2,57.99,1,0.2068,0,0.2477,0.006,2.0292,0.6471,1
100.0,90.29,1,0.2999,0,0.2859,0.0056,3.5587,0.0,0
97.27,89.5,1,0.2879,0,0.2772,0.0074,2.9887,0.0,0
100.0,88.9,1,0.2054,0,0.2141,0.0379,2.9831,0.0006,0
97.14,91.25,1,0.2252,0,0.2394,0.0384,3.4818,0.0,0
100.0,93.08,1,0.2571,0,0.2611,0.0215,1.9514,0.0401,0
97.2,92.96,1,0.2653,0,0.2113,0.0014,3.9276,0.0,0
100.0,91.87,1,0.2093,0,0.299,0.0007,3.4344,0.0218,0
99.42,99.2,1,0.2554,0,0.2997,0.048,2.8594,0.0477,0
100.0,85.21,1,0.2984,0,0.236,0.0114,3.0709,0.0101,0
100.0,94.42,1,0.2351,0,0.2905,0.0084,2.0734,0.0,0
99.5,95.06,1,0.226,0,0.2839,0.0042,1.5208,0.0,0
98.93,87.72,1,0.2682,0,0.2183,0.035,3.2082,0.0341,0
100.0,92.4,1,0.2105,0,0.2593,0.0364,3.7971,0.0454,0
100.0,98.61,1,0.2809,0,0.225,0.0479,3.1406,0.0,0
100.0,92.91,1,0.218,0,0.2214,0.0421,2.4141,0.0,0
100.0,96.58,1,0.2411,0,0.2667,0.0012,3.5378,0.0,0
100.0,89.67,1,0.212,0,0.2044,0.0407,1.7481,0.0255,0
99.53,89.4,1,0.2098,0,0.2227,0.0484,3.9553,0.0199,0
98.9,95.38,1,0.246,0,0.2105,0.0263,2.6116,0.048,0
99.0,85.88,1,0.2536,0,0.2165,0.0082,3.5283,0.0,0
100.0,94.4,1,0.2231,0,0.2061,0.0116,3.7423,0.0,0
100.0,90.93,1,0.2312,0,0.2085,0.0419,2.5014,0.0,0
100.0,91.15,1,0.2431,0,0.2569,0.0483,3.5686,0.0145,0
98.17,94.54,1,0.2856,0,0.2951,0.0478,2.4381,0.0401,0
100.0,97.06,1,0.2981,0,0.2002,0.0248,2.0937,0.0407,0
100.0,86.39,1,0.2832,0,0.2829,0.0308,3.5429,0.0468,0
100.0,91.3,1,0.2653,0,0.2925,0.0334,2.0209,0.0315,0
100.0,93.73,1,0.2849,0,0.2398,0.0212,2.2927,0.0,0
76.18,60.66,1,0.2681,0,0.2128,0.0469,2.6489,0.6203,1
100.0,90.71,1,0.2018,0,0.2462,0.0409,2.5089,0.0,0
100.0,93.21,1,0.2737,0,0.2816,0.0067,2.2403,0.0,0
98.95,89.53,1,0.256,0,0.2538,0.0066,1.7887,0.0433,0
98.59,94.06,1,0.282,0,0.2615,0.028,2.2006,0.0,0
72.26,67.52,1,0.2504,0,0.2258,0.0268,2.7861,0.6454,1
97.19,93.64,1,0.2894,0,0.2906,0.0009,1.5918,0.0,0
97.9,93.51,1,0.2004,0,0.2448,0.0228,2.1122,0.0,0
100.0,95.1,1,0.2588,0,0.2097,0.0474,2.9042,0.0184,0
100.0,94.4,1,0.2874,0,0.2224,0.0223,2.8568,0.029,0
100.0,92.92,1,0.2993,0,0.2614,0.0336,3.7177,0.0003,0
100.0,90.62,1,0.2671,0,0.2877,0.0352,2.2861,0.0,0
98.24,89.86,1,0.2073,0,0.282,0.0015,2.2216,0.0445,0
100.0,96.26,1,0.2047,0,0.2161,0.0139,2.4385,0.0,0
69.06,50.41,1,0.2168,0,0.2088,0.0469,3.2895,0.5773,1
97.37,96.01,1,0.2468,0,0.2107,0.0255,1.9567,0.0,0
100.0,96.8,1,0.2623,0,0.2242,0.0489,1.8159,0.0,0
100.0,96.84,1,0.229,0,0.2406,0.0448,2.1865,0.0,0
97.12,95.9,1,0.2648,0,0.2859,0.014,2.9614,0.0,0
98.36,93.49,1,0.2794,0,0.256,0.0133,1.5832,0.0,0
100.0,99.12,1,0.2316,0,0.2954,0.0177,3.5494,0.0258,0
100.0,88.86,1,0.252,0,0.2891,0.0255,2.3327,0.0345,0
100.0,93.14,1,0.276,0,0.2978,0.0448,1.9866,0.0308,0
97.31,93.97,1,0.299,0,0.2257,0.0251,3.5668,0.0167,0
98.58,91.43,1,0.2234,0,0.2565,0.0392,3.8637,0.0,0
100.0,90.6,1,0.2436,0,0.2319,0.0289,1.5429,0.0,0
100.0,91.76,1,0.2019,0,0.2417,0.0114,3.2051,0.0401,0
100.0,87.32,1,0.2648,0,0.2322,0.0211,2.3952,0.0085,0
99.2,97.89,1,0.2041,0,0.2017,0.0206,2.9599,0.0,0
100.0,95.06,1,0.2777,0,0.289,0.0496,2.9599,0.037,0
100.0,87.11,1,0.2352,0,0.281,0.0275,3.8771,0.0,0
100.0,95.76,1,0.232,0,0.2584,0.0038,3.3776,0.0,0
100.0,99.84,1,0.2587,0,0.2547,0.0287,2.6549,0.0343,0
75.53,63.6,1,0.221,0,0.206,0.0283,3.4118,0.6079,1
100.0,96.3,1,0.2567,0,0.2505,0.024,2.5071,0.0,0
97.81,92.33,1,0.237,0,0.2308,0.016,1.5685,0.0,0
98.57,90.79,1,0.2099,0,0.2003,0.0124,1.9655,0.0242,0
99.32,91.41,1,0.2665,0,0.2371,0.0103,2.3332,0.0,0
100.0,89.85,1,0.2741,0,0.2449,0.0046,2.5952,0.0,0
98.48,94.09,1,0.2904,0,0.2423,0.0189,2.1373,0.0099,0
100.0,87.53,1,0.2656,0,0.2207,0.036,3.2464,0.0,0
98.92,86.83,1,0.2806,0,0.2491,0.029,1.5211,0.0349,0
98.23,88.31,1,0.2414,0,0.2764,0.0008,3.4122,0.0156,0
98.97,93.61,1,0.2986,0,0.2795,0.0417,3.1544,0.0416,0
100.0,87.86,1,0.2309,0,0.2501,0.02,2.731,0.0213,0
100.0,88.05,1,0.2617,0,0.2016,0.0351,3.7174,0.0284,0
98.4,93.33,1,0.2349,0,0.2969,0.0382,1.5743,0.0459,0
98.83,93.53,1,0.2831,0,0.2115,0.0238,1.6323,0.0,0
97.98,90.49,1,0.2838,0,0.2124,0.0396,2.1216,0.0,0
100.0,91.76,1,0.2309,0,0.2825,0.0305,2.5374,0.0,0
100.0,92.57,1,0.2573,0,0.2607,0.0398,3.3599,0.051,0
100.0,97.56,1,0.2059,0,0.2418,0.0342,3.9279,0.025,0
100.0,95.28,1,0.2164,0,0.2833,0.0082,1.7661,0.0,0
100.0,91.45,1,0.2944,0,0.2503,0.012,3.4999,0.013,0
100.0,93.14,1,0.267,0,0.2498,0.0212,1.6533,0.0,0
97.63,94.66,1,0.2057,0,0.2822,0.019,3.4955,0.0329,0
100.0,88.69,1,0.2936,0,0.2455,0.0155,2.3372,0.0158,0
100.0,87.76,1,0.287,0,0.215,0.0232,3.8325,0.0,0
100.0,98.17,1,0.2276,0,0.2473,0.0261,2.8007,0.0469,0
97.78,92.29,1,0.2128,0,0.2232,0.0455,3.0805,0.0,0
99.04,98.67,1,0.244,0,0.2031,0.015,3.458,0.0,0
100.0,93.22,1,0.2971,0,0.2654,0.0027,3.4389,0.0422,0
98.0,99.49,1,0.2219,0,0.2236,0.0157,2.3478,0.0139,0
100.0,97.99,1,0.205,0,0.2433,0.0358,2.3541,0.0244,0
100.0,92.39,1,0.2589,0,0.2581,0.0191,3.6877,0.0086,0
100.0,88.42,1,0.2645,0,0.2379,0.0097,2.8172,0.0,0
100.0,95.87,1,0.2117,0,0.2429,0.0194,1.5042,0.0,0
99.24,94.25,1,0.254,0,0.2066,0.036,2.7629,0.0,0
97.41,94.26,1,0.2053,0,0.2839,0.0047,3.0102,0.0485,0
97.91,95.96,1,0.2702,0,0.287,0.0348,1.8792,0.0,0
97.26,96.38,1,0.2605,0,0.2644,0.0068,3.5333,0.0,0
97.43,92.02,1,0.2191,0,0.2151,0.049,1.894,0.0,0
98.06,95.73,1,0.2836,0,0.2411,0.0222,2.3251,0.0,0
98.21,95.98,1,0.2891,0,0.2607,0.0196,1.6824,0.0,0
100.0,90.07,1,0.2637,0,0.2805,0.0293,3.649,0.0,0
99.27,95.12,1,0.2944,0,0.2074,0.0072,3.2873,0.0,0
99.01,89.54,1,0.2523,0,0.2625,0.0166,3.1793,0.0502,0
99.48,94.5,1,0.2061,0,0.2083,0.0286,3.1717,0.0,0
100.0,94.72,1,0.2387,0,0.2608,0.0035,3.4395,0.05,0
100.0,93.35,1,0.294,0,0.2004,0.0128,3.9154,0.0285,0
100.0,86.26,1,0.2518,0,0.2891,0.0249,3.1898,0.0128,0
100.0,91.11,1,0.2538,0,0.2246,0.0337,3.0488,0.0165,0
100.0,89.52,1,0.2699,0,0.2466,0.0156,2.9552,0.0413,0
97.8,96.66,1,0.266,0,0.2496,0.0313,1.6518,0.0507,0
100.0,91.62,1,0.2717,0,0.2832,0.0126,3.5861,0.0032,0
97.94,96.84,1,0.2854,0,0.2691,0.0217,3.5235,0.0,0
100.0,90.31,1,0.2644,0,0.257,0.0211,3.939,0.0,0
100.0,92.48,1,0.2268,0,0.2866,0.0018,3.2438,0.0432,0
100.0,87.89,1,0.2763,0,0.2242,0.047,3.1828,0.0,0
100.0,95.31,1,0.2459,0,0.2594,0.0377,1.6905,0.0507,0
99.25,90.02,1,0.2395,0,0.2636,0.0294,1.9301,0.0,0
99.65,97.97,1,0.2942,0,0.2656,0.0162,3.435,0.0,0
100.0,90.76,1,0.2784,0,0.2868,0.0413,3.2889,0.0,0
97.12,88.9,1,0.2211,0,0.2558,0.0352,3.752,0.0285,0
99.35,97.65,1,0.2733,0,0.2489,0.007,1.6051,0.0,0
100.0,92.78,1,0.2982,0,0.2455,0.0282,2.1822,0.0,0
99.53,93.27,1,0.2802,0,0.2279,0.0132,3.5655,0.0263,0
100.0,98.33,1,0.2569,0,0.2807,0.0363,2.3439,0.0326,0
100.0,89.55,1,0.2899,0,0.2509,0.0211,1.9292,0.0472,0
98.54,90.54,1,0.2196,0,0.2064,0.0127,2.3289,0.0257,0
100.0,93.13,1,0.2115,0,0.2582,0.0459,3.1763,0.01,0
100.0,93.72,1,0.2165,0,0.2021,0.0455,2.2882,0.0247,0
69.37,64.58,0,0.205,0,0.2119,0.041,3.31,0.7314,1
97.58,95.42,1,0.2916,0,0.2651,0.0048,3.8665,0.0311,0
100.0,94.68,1,0.2054,0,0.2402,0.0378,3.2348,0.0,0
98.87,95.81,1,0.2456,0,0.2216,0.0041,3.7505,0.0142,0
98.89,98.3,1,0.244,0,0.2074,0.0052,2.6529,0.0109,0
100.0,89.82,1,0.2185,0,0.254,0.0081,3.8146,0.0496,0
97.11,99.14,1,0.2477,0,0.2625,0.0345,3.2971,0.0509,0
100.0,89.1,1,0.2265,0,0.2783,0.0192,1.6998,0.0,0
97.51,93.2,1,0.2551,0,0.2311,0.0422,2.0124,0.0,0
100.0,92.09,1,0.2303,0,0.2195,0.0373,2.5063,0.0,0
100.0,92.86,1,0.2397,0,0.2726,0.0384,2.6725,0.0,0
100.0,95.89,1,0.2982,0,0.2716,0.0465,3.0471,0.0461,0
100.0,97.48,1,0.2211,0,0.2783,0.0297,3.3213,0.0501,0
100.0,95.34,1,0.2943,0,0.2399,0.0427,1.5755,0.0125,0
97.82,95.85,1,0.2342,0,0.2626,0.0128,2.0622,0.0,0
99.5,91.66,1,0.2667,0,0.215,0.0459,1.5228,0.0004,0
100.0,88.5,1,0.2419,0,0.2222,0.047,2.8177,0.0067,0
100.0,91.94,1,0.2165,0,0.2262,0.0195,3.8032,0.0,0
100.0,86.49,1,0.2676,0,0.2938,0.0167,1.9086,0.0468,0
97.33,95.33,1,0.2611,0,0.2598,0.0149,1.5678,0.0025,0
99.87,96.71,1,0.2047,0,0.2409,0.024,1.6553,0.0409,0
98.64,91.62,1,0.2369,0,0.27,0.0331,2.7283,0.0059,0
98.04,96.84,1,0.2998,0,0.2087,0.0253,3.8052,0.0141,0
99.98,95.15,1,0.2102,0,0.2635,0.0264,2.2371,0.0,0
97.36,94.88,1,0.251,0,0.2339,0.003,1.8239,0.0186,0
97.94,95.59,1,0.2123,0,0.2621,0.0449,2.461,0.0,0
100.0,95.06,1,0.2387,0,0.21,0.0087,3.7128,0.0,0
100.0,92.11,1,0.2118,0,0.2004,0.0361,1.7984,0.0382,0
100.0,95.98,1,0.2866,0,0.2824,0.0151,1.7891,0.0,0
100.0,90.0,1,0.2041,0,0.2667,0.0235,1.9596,0.0,0
97.19,92.44,1,0.2308,0,0.2116,0.0004,1.5952,0.0,0
39.71,75.01,1,0.2253,0,0.2095,0.0408,2.0279,0.6521,1
100.0,89.37,1,0.2463,0,0.2721,0.0481,3.9455,0.0178,0
98.08,97.37,1,0.2829,0,0.2575,0.0062,3.4638,0.0,0
97.63,100.0,1,0.2564,0,0.2261,0.0096,3.3774,0.0,0
97.89,90.29,1,0.296,0,0.2736,0.0036,3.2094,0.0157,0
100.0,88.62,1,0.2938,0,0.2392,0.0039,3.6811,0.0,0
100.0,93.09,1,0.2353,0,0.2626,0.0275,1.73,0.0,0
100.0,93.9,1,0.2333,0,0.2374,0.0082,2.3158,0.0085,0
100.0,93.41,1,0.2944,0,0.2821,0.0111,3.2593,0.0,0
99.5,96.88,1,0.2872,0,0.2992,0.0226,3.4914,0.0273,0
100.0,97.07,1,0.2818,0,0.2621,0.024,3.5663,0.0,0
100.0,94.71,1,0.2289,0,0.2644,0.0144,3.9511,0.0064,0
98.75,100.0,1,0.214,0,0.2285,0.0491,2.9068,0.0,0
99.87,92.34,1,0.2312,0,0.2588,0.0057,2.0524,0.0471,0
100.0,87.51,1,0.2328,0,0.2135,0.0096,2.0485,0.0,0
100.0,93.1,1,0.2338,0,0.2789,0.0215,2.964,0.0,0
100.0,86.72,1,0.2822,0,0.2817,0.0145,3.262,0.0,0
76.06,54.8,1,0.7328,0,0.7926,0.0416,2.9507,0.71,1
100.0,92.83,1,0.2283,0,0.2223,0.0088,3.2903,0.0,0
100.0,92.06,1,0.2333,0,0.2229,0.0357,2.2651,0.0,0
55.01,74.02,1,0.2807,0,0.2896,0.0063,2.6502,0.5679,1
99.21,96.97,1,0.2322,0,0.2623,0.0134,2.4406,0.0093,0
98.26,95.37,1,0.2134,0,0.2057,0.037,2.8036,0.0065,0
